Designator,Mid X,Mid Y,Layer,Rotation
C1,2.9000mm,17.6000mm,T,-90.0
C2,2.9000mm,21.7250mm,T,-90.0
C3,7.7000mm,17.4000mm,T,180.0
C4,19.3000mm,18.3500mm,T,-90.0
C5,19.3000mm,22.7500mm,T,-90.0
C6,8.0000mm,23.6000mm,T,180.0
C7,3.3600mm,13.5500mm,T,90.0
C8,5.9600mm,13.5500mm,T,90.0
C9,11.2750mm,67.5000mm,T,180.0
C10,7.4000mm,65.4500mm,T,90.0
C11,1.0000mm,86.3800mm,T,90.0
D1,3.8000mm,27.2500mm,T,90.0
D2,7.0500mm,27.7125mm,T,90.0
F1,18.4600mm,28.4000mm,T,0.0
F2,3.3600mm,2.3000mm,T,0.0
J2,11.0300mm,4.2200mm,T,0.0
L1,13.9000mm,20.8000mm,T,0.0
R1,5.0000mm,18.4000mm,T,90.0
R2,4.9000mm,21.7250mm,T,90.0
R3,18.9350mm,12.8000mm,T,0.0
R4,18.9350mm,9.6000mm,T,0.0
R5,12.5500mm,65.0750mm,T,-90.0
R6,14.0500mm,49.0750mm,T,-90.0
R7,15.0500mm,34.5750mm,T,90.0
R8,7.0500mm,30.9250mm,T,-90.0
SW1,10.8000mm,60.6000mm,T,0.0
SW2,11.0500mm,45.0000mm,T,180.0
U1,8.0625mm,20.6500mm,T,0.0
U2,11.9100mm,12.4000mm,T,180.0
U3,3.6625mm,7.6375mm,T,90.0
U4,11.3100mm,79.8500mm,T,0.0
